Plot ,GT_DSC,AC,PV,TV,BD,FV,SB,LO,PT,PASTEMP_RECALC,HRD,ADH,COH,SPR,SMMAX,LM_SMMAX,TD_SMMAX,TEMP_GELPT,TEMP_SMMAX,TROUGH_SM,SLOPE1_SM,SLOPE2_SM_abs,SLOPE3_LM,SLOPE4_LM_abs,PC
Plt0011,76.48,23.6,278.58,188.67,89.92,359.08,80.5,170.42,5.9,76.8,1681.73,9.61,0.45,0.09,36146.67,3344,0.09,59.4,82.07,14333.33,9875.375,1612.16,2062.1675,2162.04,10.06
Plt0026,75.91,23.5,178.75,117.83,60.92,246.58,67.83,128.75,5.7,78.3,1372.38,8.5,0.39,0.09,55196.67,6615.67,0.12,58.17,76.67,20113.33,6943.11,1768.6675,2166.675,614.95,9.88
Plt0045,75.1,25.2,159.83,102.5,57.33,217.58,57.75,115.08,5.6,78.3,1338.51,7.47,0.38,0.12,35406.67,4055.67,0.12,59.07,80.23,12866.67,4125.1175,1367.6675,1061.1675,638.4,7.91
Plt0052,76.94,24.9,208.58,140.58,68,280.92,72.33,140.33,5.7,79,2138.97,22.93,0.39,0.1,30183.33,2615.67,0.09,61.4,83.53,12700,4798.2225,1396.01,1084.9775,1325.585,9.76
Plt0054,76.19,23.9,242.75,180,62.75,358.42,115.67,178.42,5.7,75.1,1248.32,7.4,0.36,0.11,39013.33,3962.67,0.1,61.23,80.77,15466.67,7372.0675,1671.9625,1685.415,1052.1825,8.45
Plt0057,68.44,24.5,126.92,77.5,49.42,168,41.08,90.5,5.7,70.45,1806.45,7.6,0.42,0.12,35453.33,2186.33,0.06,54.13,84.13,14166.67,10755.7225,1777.855,2085.61,2655.8,8.27
Plt0106,78.24,22.7,243.83,139.58,104.25,272.58,28.75,133,5.8,79.8,1832.63,43.78,0.44,0.1,31160,3676.33,0.12,59.23,80,10250,3830.02,1291.42,1696.5,1155.4175,7.74
Plt0133,75.39,25.2,265.83,202.42,63.42,327.92,62.08,125.5,6.2,79,2490.08,24.12,0.4,0.13,30960,2986,0.1,63.35,82.73,13800,3183.175,1346.895,1458.9775,505.325,9.76
Plt0135,75.97,26.4,202.83,113.75,89.08,230.92,28.08,117.17,5.7,78.3,1664.78,30.95,0.38,0.1,16070,2159.33,0.14,63.47,83.3,8246.67,1824.445,549.4775,682.7975,516.3,7.38
Plt0147,76.06,27,212,131.25,80.75,260.58,48.58,129.33,5.7,77.5,1810.34,13.34,0.51,0.13,42173.33,4615.67,0.11,63.23,76.9,12433.33,7105,1367.64,1433.4725,1058.4275,8.57
Plt0218,77.58,20.5,239.08,146.92,92.17,283.25,44.17,136.33,5.87,78.3,1504.38,28.47,0.41,0.09,40073.33,4205.33,0.1,60.83,77.9,13033.33,11064.1675,1599.1725,1112.68,613.18,7.91
Plt0222,77.92,24.6,281.08,176.25,104.83,344.25,63.17,168,5.8,79.15,2646.12,17.38,0.51,0.1,33333.33,2676.33,0.08,59.5,84.77,15533.33,9101.285,1530.4575,2162.9675,1899.445,8.03
Plt0235,75.77,26.2,193.08,112.83,80.25,238.58,45.5,125.75,5.7,77.5,1216.58,9.68,0.47,0.09,26550,2569.67,0.1,62.03,87.83,13610,6092.75,1622.325,1768.2825,88.655,8.33
Plt0273,76.09,25.2,207.5,111.17,96.33,248,40.5,136.83,5.6,78.3,2144.35,19.99,0.42,0.12,37730,4414.67,0.12,61.47,81.7,13533.33,7322.1325,1765.1275,1913.1675,1525.79,8.75
Plt0284,68.37,20.3,217.5,161.08,56.42,294.75,77.25,133.67,6,74.4,2439.96,18.51,0.53,0.12,22256.67,1524,0.07,58.33,90.53,12500,5059.7425,1095.8925,760.21,1057.4375,9.22
Plt0293,74.81,24.8,224.08,151.17,72.92,284.58,60.5,133.42,6,78.3,1503.93,20.51,0.36,0.12,28836.67,2268.33,0.08,61.7,86.57,15700,3103.845,1454.4,662.9375,1918.8325,8.33
